title,author,average_rating,ratings_count,reviews_count,book_url,rating_to_review_ratio
The Silent Patient,Alex Michaelides,4.17,3079265,369511.8,https://www.goodreads.com/book/show/40097951-the-silent-patient,8.333310781115026
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,4.64,3034861,364183.32,https://www.goodreads.com/book/show/17927395-a-court-of-mist-and-fury,8.333310451147375
The Help,Kathryn Stockett,4.47,2980240,357628.8,https://www.goodreads.com/book/show/4667024-the-help,8.333310031770283
The Book Thief,Markus Zusak,4.39,2825760,339091.2,https://www.goodreads.com/book/show/19063.The_Book_Thief,8.33330875791304
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.67,2824059,338887.08,https://www.goodreads.com/book/show/10818853-fifty-shades-of-grey,8.333308743110704
Romeo and Juliet,William Shakespeare,3.74,2785045,334205.39999999997,https://www.goodreads.com/book/show/18135.Romeo_and_Juliet,8.333308398642277
Of Mice and Men,John Steinbeck,3.89,2776827,333219.24,https://www.goodreads.com/book/show/890.Of_Mice_and_Men,8.333308324848455
"The Giver (The Giver, #1)",Lois Lowry,4.12,2755758,330690.95999999996,https://www.goodreads.com/book/show/3636.The_Giver,8.333308133648003
Fahrenheit 451,Ray Bradbury,3.97,2755461,330655.32,https://www.goodreads.com/book/show/13079982-fahrenheit-451,8.333308130931838
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.45,2692704,323124.48,https://www.goodreads.com/book/show/13496.A_Game_of_Thrones,8.33330754355862
"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,4.46,2557340,306880.8,https://www.goodreads.com/book/show/23766634-a-court-of-wings-and-ruin,8.333306178470018
"The Da Vinci Code (Robert Langdon, #2)",Dan    Brown,3.93,2490687,298882.44,https://www.goodreads.com/book/show/968.The_Da_Vinci_Code,8.333305451784147
The Lovely Bones,Alice Sebold,3.86,2447007,293640.83999999997,https://www.goodreads.com/book/show/12232938-the-lovely-bones,8.33330495408965
"Little Women (Little Women, #1)",Louisa May Alcott,4.17,2413614,289633.68,https://www.goodreads.com/book/show/1934.Little_Women,8.333304561456522
The Little Prince,Antoine de Saint-Exupéry,4.33,2406483,288777.95999999996,https://www.goodreads.com/book/show/157993.The_Little_Prince,8.333304476198682
"Iron Flame (The Empyrean, #2)",Rebecca Yarros,4.36,2394857,287382.83999999997,https://www.goodreads.com/book/show/90202302-iron-flame,8.333304336110201
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.15,2355515,282661.8,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale,8.333303851797973
The Midnight Library,Matt Haig,3.98,2339975,280797.0,https://www.goodreads.com/book/show/52578297-the-midnight-library,8.333303656008946
Jane Eyre,Charlotte Brontë,4.16,2279393,273527.16,https://www.goodreads.com/book/show/10210.Jane_Eyre,8.33330286724409
"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,4.18,2261460,271375.2,https://www.goodreads.com/book/show/7896527-throne-of-glass,8.333302625653982
Ugly Love,Colleen Hoover,4.0,2243837,269260.44,https://www.goodreads.com/book/show/17788401-ugly-love,8.333302384478074
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.07,2141115,256933.8,https://www.goodreads.com/book/show/256683.City_of_Bones,8.3333008996835
Memoirs of a Geisha,Arthur Golden,4.16,2091700,251004.0,https://www.goodreads.com/book/show/929.Memoirs_of_a_Geisha,8.333300133463476
Brave New World,Aldous Huxley,3.99,2036781,244413.72,https://www.goodreads.com/book/show/5129.Brave_New_World,8.333299238278284
Charlotte’s Web,E.B. White,4.21,2010484,241258.08,https://www.goodreads.com/book/show/24178.Charlotte_s_Web,8.33329879231903
"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.22,1984457,238134.84,https://www.goodreads.com/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy,8.333298339300796
Wuthering Heights,Emily Brontë,3.9,1981165,237739.8,https://www.goodreads.com/book/show/6185.Wuthering_Heights,8.333298281153256
The Perks of Being a Wallflower,Stephen Chbosky,4.24,1964940,235792.8,https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower,8.333297991719885
The Nightingale,Kristin Hannah,4.64,1964803,235776.36,https://www.goodreads.com/book/show/21853621-the-nightingale,8.333297989255627
"A ​Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas,4.45,1957237,234868.44,https://www.goodreads.com/book/show/53138095-a-court-of-silver-flames,8.333297852628252
All the Light We Cannot See,Anthony Doerr,4.31,1926822,231218.63999999998,https://www.goodreads.com/book/show/18143977-all-the-light-we-cannot-see,8.333297292565632
